"year","count"
1900,13
1901,17
1902,12
1903,14
1904,21
1905,56
1906,78
1907,65
1908,30
1909,39
1910,49
1911,33
1912,34
1913,70
1914,48
1915,63
1916,54
1917,84
1918,94
1919,90
1920,69
1921,61
1922,81
1923,93
1924,79
1925,106
1926,123
1927,111
1928,119
1929,125
1930,97
1931,123
1932,92
1933,101
1934,117
1935,111
1936,105
1937,98
1938,149
1939,80
1940,105
1941,100
1942,99
1943,113
1944,82
1945,87
1946,94
1947,83
1948,114
1949,83
1950,123
1951,134
1952,166
1953,128
1954,109
1955,128
1956,109
1957,175
1958,119
1959,104
1960,136
1961,104
1962,98
1963,129
1964,144
1965,129
1966,100
1967,103
1968,145
1969,141
1970,145
1971,140
1972,128
1973,99
1974,98
1975,114
1976,115
1977,86
1978,93
1979,94
1980,96
1981,86
1982,90
1983,139
1984,138
1985,162
1986,138
1987,173
1988,126
1989,139
1990,154
1991,137
1992,179
1993,148
1994,159
1995,202
1996,164
1997,136
1998,121
1999,135
2000,160
2001,137
2002,139
2003,154
2004,157
2005,150
2006,153
2007,196
2008,179
2009,160
2010,174
2011,207
2012,133
2013,142
2014,155
2015,146
2016,147
2017,111
2018,134
2019,145
2020,121
2021,157
2022,127
2023,147
2024,99
